"Confirm your email","Bekreft e-posten din"
"Updated successfully","Oppdatert"
"Login successfully","Oppdatert"
"You are not linked to a Vipps profile.","Du er ikke tilknyttet en Vipps-profil."
"An error occurred.","Det oppstod en feil."
"We can't delete the address right now.","Vi kan ikke slette adressen din nå."
"Your changes were applied.","Endringene dine ble lagret."
"An error occurred when applying settings. Please, try again later.","Det oppstod en feil når vi skulle oppdatere innstillingene dine. Prøv igjen senere."
"An error occurred. Please, try again later.","Det oppstod en feil. Prøv igjen senere."
"Your account has been confirmed!","Kontoen din ble bekreftet!"
"An error occurred during email confirmation.","Det oppstod en feil med e-postbekreftelsen."
"Please check your inbox for a confirmation email. Click the link in the email to confirm your email address.","Sjekk innboksen din for en bekreftelses-e-post. Klikk på lenken i e-posten for å bekrefte e-postadressen din."
"This email does not require confirmation.","Du trenger ikke å bekrefte denne e-postadressen."
"An error occurred when trying to send email.","Det oppsted en feil når vi forsøkte å sende deg e-post."
"Sign in with Vipps","Logg inn med Vipps"
"You are logged in.","Du er logget inn."
"Invalid login or password.","Ugyldig innlogging eller passord."
"Invalid state key.","Ugyldig tilstandsnøkkel."
"Please, try again later.","Prøv igjen senere."
"Your account was successfully linked with Vipps.","Kontoen din ble koblet til Vipps."
"An error occurred during linking accounts.","Det oppstod en feil når vi forsøkte å koble kontoen din til Vipps."
"Your account was successfully unlinked.","Fjernet tilknytning for kontoen din."
"An error occurred during unbinding accounts. Please, try again later.","Det oppstod en feil når vi forsøkte å fjerne tilknytningen. Prøv igjen senere."
"An error occurred trying to get token","Det oppstod en feil når vi forsøkte å hente nøkkelen"
error_description,error_description
"%1 Unauthorized","%1 Uautorisert"
"%1 Bad Request","%1 Ugyldig forespørsel"
"Account already confirmed","Kontoen er allerede bekreftet"
"Create Account","Opprett ny konto"
"Vipps Login Configuration","Vipps Logg Inn Konfigurasjon"
"Create Account with Vipps","Opprett ny konto med Vipps"
"register with email","registrer deg med e-post"
"Unlink my account from Vipps","Fjern tilknytning fra Vipps"
"Addresses from Vipps","Adresser fra Vipps"
"Apply address","Bruk adresse"
"Applied","I bruk"
"Update address","Oppdater adresse"
"When you update your addresses in Vipps, should we update our records?","Når du oppdaterer adressene dine i Vipps, skal vi oppdatere adressene vi har lagret om deg?"
"Update automatically","Oppdater automatisk"
"Ask before update","Spør først"
"Do nothing","Ikke gjør noe"
Password,Passord
Save,Lagre
Back,Tilbake
"The easiest way to sign in. No need to worry about forgetting your username and password – all you need to login is your phone number. Vipps, and you are logged in.","Enklere innlogging finnes ikke. Aldri mer brukernavn og passord – du trenger bare å huske telefonnummeret ditt. Vipps, så er du logget inn."
"Use address from Vipps","Bruk adresse fra Vipps"
"Addresses from Vipps","Adresser fra Vipps"
"Select address","Bruk adresse"
"Something went wrong","Noe gikk galt"
"* Required Fields","* Obligatoriske felt"
"Looks, like your email %1 has been already registered. Confirm your password or send confirmation link to your email.","Det ser ut som at du har en profil med e-posten %1 allerede. For å bekrefte profilen din, send en bekreftelseslenke til e-posten din eller skriv inn passordet ditt."
Email,E-post
"or enter your password","eller skriv inn passordet ditt"
"Sign In","Logg inn"
"Send confirmation link to email","Send meg bekreftelseslenke på e-post"
"Sign in with","Logg inn med"
"Updated address?","Oppdater adresse?"
"You've updated your addresses in Vipps since your last visit.  Should we update our records?","Du har oppdatert adressene dine i Vipps siden ditt siste besøk. Skal vi oppdatere adressene vi har lagret om deg?"
"Please confirm your email at %store_name","Bekreft e-posten din hos %store_name"
"Confirm that %customer_email is your email address to sign in. It’s easy – just click the button below.","Bekreft at e-postadressen din er %customer_email for å fullføre innloggingen. Det er enkelt – bare klikk på knappen under."
"Confirm now","Bekreft nå"
"Log in","Logg inn"
"Sign in with Vipps","Logg inn med Vipps"
"Sign in with","Logg inn med"
"Continue with","Fortsett med"
"or","eller"
"or use email","eller bruk e-post"
Update,Oppdater
"New address from Vipps","Ny adresse fra Vipps"
"Old address","Lagret adresse"
"Remember my choice","Husk valget mitt"
Vipps,Vipps
"Log in","Logg inn"
Environment,Miljø
Debug,Feilsøk
"Client ID","Client ID"
"Client Secret","Client Secret"
"Sign in with Vipps","Logg inn med Vipps"
"Vipps Address Entries","Vipps adresser"
"Confirm my email address","Bekreft e-postadressen min"
"Check your inbox","Sjekk innboksen din"
"User cancelled the login", "Bruker avbrøt innloggingen"
"You can sign in using", "Du kan logge inne med"
"or log in to our site and set a password using this <a href='%create_password_url'>link</a>.", "eller logge inn på kontoen din og sette et passord med denne <a href='%create_password_url'>linken</a>."
"Invalid module configuration. Please, contact store administrator.", "Ugyldig modulkonfigurasjon. Kontakt butikkadministrator."
